id,name,brewery_id,style,availability,abv
86113,Fresh Nugs,26762,English Pale Ale,Rotating,5.2
302994,Beach Beer,36212,German Kölsch,Summer,5.0
244730,Le Table Beer,31066,Belgian Saison,Rotating,3.8
307139,El Kapitan,50448,American Imperial IPA,Rotating,9.1
175891,India Pale Lager,35547,American Lager,Rotating,6.8
1064,Pale Ale,383,American Pale Ale (APA),Rotating,5.0
255906,Amber,45647,American Amber / Red Ale,Year-round,5.5
69904,Roggenbier,383,German Roggenbier,Summer,4.8
351745,Tennessee Temptress,29656,English Sweet / Milk Stout,Limited (brewed once),11.2
37231,Back 40 Blonde Ale,16088,German Kölsch,Year-round,4.8
318094,Shamus the Fiddler,48409,Irish Red Ale,Year-round,5.2
310984,Elgin Alt,37532,German Altbier,Rotating,5.5
151818,Dullahan Irish Stout,13948,Irish Dry Stout,Rotating,5.8
348381,Pralines N Cream Ice Cream Sundae,51758,American Imperial Stout,Rotating,10.0
115717,10/6,33844,English India Pale Ale (IPA),Year-round,6.5
335782,GrIN & TONIC,28520,American Blonde Ale,Rotating,4.0
248458,Pacific Jade,24825,Belgian Saison,Rotating,7.0
351695,Clifton Clowers,46233,American Blonde Ale,Rotating,5.1
39072,Roggenbier,458,German Roggenbier,Fall,4.9
56958,Barrel Aged Old Bat Rastard,18823,English Old Ale,Rotating,9.1
269477,Blood Orange Ubuntu Coffee Stout,48409,American Stout,Year-round,6.1
370857,Queen To Be,52077,American Imperial IPA,Rotating,9.2
371629,Just Want A Pils,50994,German Pilsner,Rotating,5.0
335721,Blaubier,50877,American IPA,Rotating,7.7
101451,Public Ale,30949,English Extra Special / Strong Bitter (ESB),Year-round,5.5
305711,Infinity Land IPA,40217,American IPA,Rotating,6.8
177683,Oatmeal Hef,31272,German Hefeweizen,Summer,5.4
352877,Norman,47537,German Roggenbier,Limited (brewed once),6.5
252500,Pantherhawk Pale Ale,24916,American Pale Ale (APA),Rotating,5.2
259452,Stripper Dust,45109,American Porter,Year-round,5.8
233193,Guavagood,42042,German Kölsch,Spring,6.2
332033,Bloom Cyclone,37532,American IPA,Rotating,6.1
370523,Turning Point / Ingenious - FroYo Pulp,52077,New England IPA,Limited (brewed once),6.8
110196,Regalement,30949,Winter Warmer,Winter,6.9
129962,Snörkel,24018,Belgian Saison,Rotating,4.2
161423,Hey Joe Coffee Stout,2642,American Stout,Rotating,7.0
205243,Later Days Strong Ale,25622,American Strong Ale,Rotating,7.0
354590,Inconceivable,50877,Belgian Witbier,Rotating,5.7
50604,Franconia Kölsch,17033,German Kölsch,Year-round,4.8
77723,Shiner Wild Hare Pale Ale,143,American Pale Ale (APA),Year-round,5.5
41135,Red Planet,4858,American Amber / Red Ale,Rotating,4.8
341007,Baa Baa / Laser / Larry Koestler - Group High 5,45648,American IPA,Limited (brewed once),7.2
351903,Fish In A Barrel,42321,Belgian Tripel,Limited (brewed once),9.0
276385,Cloud Burst El Dorado,46890,American Pale Ale (APA),Year-round,5.5
235634,Unnamed Kölsch,45648,German Kölsch,Year-round,5.5
313316,Parliament Pale Ale,50448,American Pale Ale (APA),Year-round,5.0
340317,Orange Peel Feels,52532,American Imperial IPA,Rotating,7.8
203574,Enchilada Buffet Black IPA,43007,American IPA,Rotating,6.2
192095,Amarillo IPA,31377,American IPA,Rotating,6.1
336120,Chicken Dance,17033,German Doppelbock,Limited (brewed once),8.2
330929,First Day of School,37083,American Pale Ale (APA),Rotating,4.8
211126,Prestige Worldwide,29426,American IPA,Rotating,6.0
225627,Hopostle,43230,American IPA,Rotating,7.2
